JUMLAH SARANA PRASARANA (ASET),,,,,,,,,,,,,,
KARTU INVENTARIS BARANG (KIB B) PERALATAN DAN MESIN,,,,,,,,,,,,,,
Nomor,Kode Barang,Jenis Barang,Nomor Register,Merk/Type,Ukuran/CC,Bahan,Tahun Pembelian,Nomor Pabrik,,,,Asal usul,Harga (ribuanRp),Keterangan
,,,,,,,,Rangka,Mesin,Polisi,BPKB,,,
116,02.07.01.02.047,TRIPOD CAMERA,0001 s/d 0004,SONY,,,2017,,,,,PEMBELIAN,"5,984.00",BELU TV
117,02.07.01.02.057,LIGHTING STAND TRIPOD,0001 s/d 0003,,,,2017,,,,,PEMBELIAN,"3,630.00",BELU TV
118,02.07.03.04.002,UNIT PEMANCARUHF TRANSPORTABLE,1,,,,2017,,,,,PEMBELIAN,"477,400.00",PEMANCAR TX IKW UHF DUAL (BELU TV)
119,02.07.03.09.002,ANTENA UHF TRANSPORTABLE'0001,,,,,2017,,,,,PEMBELIAN,"281,930.00", ANTENA UHF PANEL UTV-01 SIRAL (BELU TV) 
120,02.09. 01.59.007,CONVERTER/TRANSDUCER,1,,,,2017,,,,,PEMBELIAN,"1,925.00",BELU TV
121,02.09. 07.01.020,LAMPU UV,0001 s/d 0002,SONY,,,2017,,,,,PEMBELIAN,"3,850.00",LAMPU LED CAMERA ALIST AL- 16511 (BELU TV)
122,02.06.01.05.017,MESIN ABSENSI,2,REVO,,,2018,,,,,PEMBELIAN,"3,960.00",
123,02.03.01.05.001,SEPEDA MOTOR,11,YAMAHA/NEW MIO BLUE CORE,125 CC,BENSIN,2019,MH3SE88H0KJ071131,E3R2E2357742,2385 WR,6177619,PEMBELIAN,"19,800.00","JITRO MUSKANAN, S.SOS DH 2385 WF"
124,02.04.03.08.024,AIR CONDITIONING UNIT,0001 s/d 0002,PANASONIC,,,2019,,,,,PEMBELIAN,"11,954.20",
125,02.06.01.05.040,ALAT KANTOR LAINNNYA (LAIN-LAIN),1,,,,2019,,,,,PEMBELIAN,"1,000.00",PAPAN STRUKTUR
126,02.06.02.01.048,MEJA BIRO,24,BIRO/KAYU,,,2019,,,,,PEMBELIAN,"20,000.00",BELANJA MEJA BIRO
127,02.06.02.01.067,GORDYN,1,,,KAIN,2019,,,,,PEMBELIAN,08:17.4,
